place,cote,yearStart,yearEnd,url
Bressuire,3 Q 4/98,1814,1814,https://archives-deux-sevres-vienne.fr/ark:/58825/vta93a088eba4566452/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Parthenay,3 Q 19/158,1824,1824,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaf14466004e9402d1/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chizé,3 Q 10/50,1810,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vta4b363cec97009a78/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,3 Q 20/118,1797,1801,https://archives-deux-sevres-vienne.fr/ark:/58825/vta1a8e129b6d87b0fb/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Airvault,3 Q 2/46,1813,1813,https://archives-deux-sevres-vienne.fr/ark:/58825/vta51f64e771890db3c/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Argenton-Château,3 Q 3/26,1817,1817,https://archives-deux-sevres-vienne.fr/ark:/58825/vta67dfaaffab2f38e9/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Airvault,3 Q 2/44,1820,1820,https://archives-deux-sevres-vienne.fr/ark:/58825/vta4239d1c4ee68cb43/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Melle,3 Q 15/162,1798,1803,https://archives-deux-sevres-vienne.fr/ark:/58825/vta3a89d64818382c14/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,3 Q 20/119,1806,1806,https://archives-deux-sevres-vienne.fr/ark:/58825/vta88d94d674060e4cf/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Châtillon-sur-Sèvre,3 Q 8/34,1807,1807,https://archives-deux-sevres-vienne.fr/ark:/58825/vta9c0c86908d708ffe/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Châtillon-sur-Sèvre,3 Q 8/35,1799,1803,https://archives-deux-sevres-vienne.fr/ark:/58825/vta375c8f632d6c18a3/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thénezay,3 Q 23/65,1799,1803,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaa0adc9219e0cb66c/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/561,1807,1807,https://archives-deux-sevres-vienne.fr/ark:/58825/vta2ca7c28ca564510c/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Mauzé-sur-le-Mignon,3 Q 13/105,1811,1811,https://archives-deux-sevres-vienne.fr/ark:/58825/vta8618579032abb096/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chizé,3 Q 10/45,1806,1806,https://archives-deux-sevres-vienne.fr/ark:/58825/vta8531956e7a6a495e/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Châtillon-sur-Sèvre,3 Q 8/36,1807,1807,https://archives-deux-sevres-vienne.fr/ark:/58825/vta40120ed57cf4c5a7/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chef-Boutonne,3 Q 9/563,1807,1807,https://archives-deux-sevres-vienne.fr/ark:/58825/vta4e385dffedcde3ab/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Parthenay,3 Q 19/160,1810,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vtac9938ab6806bf199/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Melle,3 Q 15/169,1806,1806,https://archives-deux-sevres-vienne.fr/ark:/58825/vtad16c22ae56e5f044/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,3 Q 20/124,1806,1806,https://archives-deux-sevres-vienne.fr/ark:/58825/vtab0568b42f4aa33b8/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/553,1807,1807,https://archives-deux-sevres-vienne.fr/ark:/58825/vta7719aa2aeeebbbf6/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/547,1808,1808,https://archives-deux-sevres-vienne.fr/ark:/58825/vta089aa32daaecfcdd/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Bressuire,3 Q 4/97,1809,1809,https://archives-deux-sevres-vienne.fr/ark:/58825/vtab9b2b88163dfeb66/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/562,1810,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vta7c97fa54a67cd4ff/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Parthenay,3 Q 19/157,1810,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vtada501b052acce882/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,3 Q 20/125,1810,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vta5baa2208ec1175bc/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thénezay,3 Q 23/67,1812,1812,https://archives-deux-sevres-vienne.fr/ark:/58825/vta1ec39c3597d0b976/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Melle,3 Q 15/163,1811,1811,https://archives-deux-sevres-vienne.fr/ark:/58825/vta253f1322bd918724/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thénezay,3 Q 23/188,1814,1814,https://archives-deux-sevres-vienne.fr/ark:/58825/vtacd3aa3960503622f/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/554,1808,1808,https://archives-deux-sevres-vienne.fr/ark:/58825/vta6e65a09a791984e9/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chizé,3 Q 10/46,1809,1809,https://archives-deux-sevres-vienne.fr/ark:/58825/vta4ce01b207279357e/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chef-Boutonne,3 Q 9/79,1812,1812,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaf7004079f451de59/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,3 Q 24/156,1814,1814,https://archives-deux-sevres-vienne.fr/ark:/58825/vta108c4b1270bf89b4/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,3 Q 24/162,1816,1816,https://archives-deux-sevres-vienne.fr/ark:/58825/vta1b27e5caaf720bb5/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Champdeniers,3 Q 7/48,1813,1813,https://archives-deux-sevres-vienne.fr/ark:/58825/vta0411bc9199ebd47b/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Melle,3 Q 15/170,1806,1812,https://archives-deux-sevres-vienne.fr/ark:/58825/vtad382154ef4c51455/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Châtillon-sur-Sèvre,3 Q 8/37,1806,1815,https://archives-deux-sevres-vienne.fr/ark:/58825/vta138256b8bc3d1291/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
La Mothe-Saint-Héray,3 Q 17/85,1806,1816,https://archives-deux-sevres-vienne.fr/ark:/58825/vta8be1731049c28bb0/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Sauzé-Vaussais,3 Q 21/86,1806,1833,https://archives-deux-sevres-vienne.fr/ark:/58825/vtad0576ad622d69359/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,3 Q 20/120,1807,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vta7950634bf167ca49/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Bressuire,3 Q 4/92,1807,1814,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaddbcf3608eba3def/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Chef-Boutonne,3 Q 9/564,1807,1814,https://archives-deux-sevres-vienne.fr/ark:/58825/vtabcee65f710333899/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Mauzé-sur-le-Mignon,3 Q 13/111,1807,1834,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaaff1e440eeb307b9/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/555,1808,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaafca097cae703d64/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/548,1808,1812,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaaa2fdb0e7070fde8/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
